Month,WEEK,DT,RESTAURANT_ID,REST_NAME,CITY,AREA,TOTAL_ORDERS,GMV,MENU_SESSIONS
01/06/2025,22,2025-06-01,70556,Brand D,Mumbai,Bandra West,1,1255.380029,13
01/06/2025,22,2025-06-01,76509,Brand D,Mumbai,Malad Kan West,1,250.95,15
01/06/2025,22,2025-06-01,76512,Brand D,Mumbai,Marol Sakinaka,1,414.95,22
01/06/2025,22,2025-06-01,83864,Brand D,Mumbai,Borivali,3,1834.779999,31
01/06/2025,22,2025-06-01,184604,Brand G,Mumbai,Malad Kan East,42,15521.30212,331
01/06/2025,22,2025-06-01,656170,Brand D,Mumbai,Chembur,5,2181.450319,28
01/06/2025,22,2025-06-01,688993,Brand E,Mumbai,Marol Sakinaka,5,8242.151345,116
01/06/2025,22,2025-06-01,783761,Brand D,Mumbai,CBD Belapur,4,2587.400352,23
01/06/2025,22,2025-06-01,880733,Brand C,Mumbai,Vashi,11,4967.285896,72
01/06/2025,22,2025-06-01,974354,Brand B,Mumbai,Mulund,29,10183.55099,191
01/06/2025,22,2025-06-01,974356,Brand B,Mumbai,Powai,29,8726.027462,138
01/06/2025,22,2025-06-01,1037606,Brand A,Mumbai,Andheri East,36,14407.8004,263
01/06/2025,22,2025-06-01,1074224,Brand D,Mumbai,Matunga Wadala,1,383.45,17
01/06/2025,23,2025-06-02,70556,Brand D,Mumbai,Bandra West,2,796.5499939,9
01/06/2025,23,2025-06-02,76512,Brand D,Mumbai,Marol Sakinaka,1,372.95,24
01/06/2025,23,2025-06-02,184604,Brand G,Mumbai,Malad Kan East,43,18734.06338,229
01/06/2025,23,2025-06-02,656170,Brand D,Mumbai,Chembur,2,504.4,18
01/06/2025,23,2025-06-02,668983,Brand D,Mumbai,Andheri West,2,1121.600327,10
01/06/2025,23,2025-06-02,688993,Brand E,Mumbai,Marol Sakinaka,5,6271.300272,73
01/06/2025,23,2025-06-02,783761,Brand D,Mumbai,CBD Belapur,1,362.45,17
01/06/2025,23,2025-06-02,880733,Brand C,Mumbai,Vashi,3,812.0459961,51
01/06/2025,23,2025-06-02,974354,Brand B,Mumbai,Mulund,24,7628.375948,143
01/06/2025,23,2025-06-02,974356,Brand B,Mumbai,Powai,17,6276.673889,104
01/06/2025,23,2025-06-02,1037606,Brand A,Mumbai,Andheri East,30,12130.50112,192
01/06/2025,23,2025-06-02,1074224,Brand D,Mumbai,Matunga Wadala,1,225.95,11
01/06/2025,23,2025-06-03,76508,Brand D,Mumbai,Lower Parel Worli,1,404.45,14
01/06/2025,23,2025-06-03,76509,Brand D,Mumbai,Malad Kan West,1,869.3700134,11
01/06/2025,23,2025-06-03,76512,Brand D,Mumbai,Marol Sakinaka,2,1036.949988,24
01/06/2025,23,2025-06-03,83864,Brand D,Mumbai,Borivali,1,414.95,31
01/06/2025,23,2025-06-03,184604,Brand G,Mumbai,Malad Kan East,37,19965.2834,287
01/06/2025,23,2025-06-03,656170,Brand D,Mumbai,Chembur,2,1177.850012,21
01/06/2025,23,2025-06-03,688993,Brand E,Mumbai,Marol Sakinaka,3,2458.050043,62
01/06/2025,23,2025-06-03,880733,Brand C,Mumbai,Vashi,6,2098.134021,47
01/06/2025,23,2025-06-03,974354,Brand B,Mumbai,Mulund,12,4350.326396,137
01/06/2025,23,2025-06-03,974356,Brand B,Mumbai,Powai,33,9515.679536,116
01/06/2025,23,2025-06-03,1037606,Brand A,Mumbai,Andheri East,22,7275.150044,174
01/06/2025,23,2025-06-04,70556,Brand D,Mumbai,Bandra West,1,372.95,31
01/06/2025,23,2025-06-04,76508,Brand D,Mumbai,Lower Parel Worli,1,347.7,23
01/06/2025,23,2025-06-04,76512,Brand D,Mumbai,Marol Sakinaka,1,347.7,26
01/06/2025,23,2025-06-04,184604,Brand G,Mumbai,Malad Kan East,29,11588.2955,230
01/06/2025,23,2025-06-04,656170,Brand D,Mumbai,Chembur,6,2291.170016,29
01/06/2025,23,2025-06-04,688993,Brand E,Mumbai,Marol Sakinaka,3,3037.650679,74
01/06/2025,23,2025-06-04,828997,Brand D,Mumbai,Thane,2,1451.300024,8
01/06/2025,23,2025-06-04,880733,Brand C,Mumbai,Vashi,9,6323.502268,49
01/06/2025,23,2025-06-04,974354,Brand B,Mumbai,Mulund,17,6290.288503,148
01/06/2025,23,2025-06-04,974356,Brand B,Mumbai,Powai,34,11561.73022,154
01/06/2025,23,2025-06-04,1037606,Brand A,Mumbai,Andheri East,25,9833.350307,186
01/06/2025,23,2025-06-05,70556,Brand D,Mumbai,Bandra West,4,2118.050345,20
01/06/2025,23,2025-06-05,76509,Brand D,Mumbai,Malad Kan West,3,1713.750026,12
01/06/2025,23,2025-06-05,76512,Brand D,Mumbai,Marol Sakinaka,1,720.6500122,29
01/06/2025,23,2025-06-05,184604,Brand G,Mumbai,Malad Kan East,37,12904.65429,254
01/06/2025,23,2025-06-05,656170,Brand D,Mumbai,Chembur,1,425.45,19
01/06/2025,23,2025-06-05,688993,Brand E,Mumbai,Marol Sakinaka,1,552.3000061,83
01/06/2025,23,2025-06-05,783761,Brand D,Mumbai,CBD Belapur,1,790.6503271,20
01/06/2025,23,2025-06-05,828997,Brand D,Mumbai,Thane,1,336.95,9
01/06/2025,23,2025-06-05,880733,Brand C,Mumbai,Vashi,5,2668.251174,34
01/06/2025,23,2025-06-05,974354,Brand B,Mumbai,Mulund,28,9389.645242,190
01/06/2025,23,2025-06-05,974356,Brand B,Mumbai,Powai,43,12585.25133,178
01/06/2025,23,2025-06-05,1037606,Brand A,Mumbai,Andheri East,30,11517.65062,210
01/06/2025,23,2025-06-06,70556,Brand D,Mumbai,Bandra West,5,3366.770323,24
01/06/2025,23,2025-06-06,76509,Brand D,Mumbai,Malad Kan West,2,974.8500122,19
01/06/2025,23,2025-06-06,76512,Brand D,Mumbai,Marol Sakinaka,1,337.449989,27
01/06/2025,23,2025-06-06,83864,Brand D,Mumbai,Borivali,3,1005.200018,38
01/06/2025,23,2025-06-06,184604,Brand G,Mumbai,Malad Kan East,35,15475.64983,274
01/06/2025,23,2025-06-06,656170,Brand D,Mumbai,Chembur,3,1322.300347,20
01/06/2025,23,2025-06-06,688993,Brand E,Mumbai,Marol Sakinaka,3,5070.800642,80
01/06/2025,23,2025-06-06,783761,Brand D,Mumbai,CBD Belapur,1,393.95,16
01/06/2025,23,2025-06-06,828997,Brand D,Mumbai,Thane,2,924.6200012,10
01/06/2025,23,2025-06-06,880733,Brand C,Mumbai,Vashi,10,6374.102292,42
01/06/2025,23,2025-06-06,974354,Brand B,Mumbai,Mulund,24,9495.362417,179
01/06/2025,23,2025-06-06,974356,Brand B,Mumbai,Powai,30,10835.30232,176
01/06/2025,23,2025-06-06,1037606,Brand A,Mumbai,Andheri East,19,8466.950065,235
01/06/2025,23,2025-06-06,1074224,Brand D,Mumbai,Matunga Wadala,1,225.95,4
01/06/2025,23,2025-06-07,70556,Brand D,Mumbai,Bandra West,2,1313.3004,26
01/06/2025,23,2025-06-07,76509,Brand D,Mumbai,Malad Kan West,2,2128.701116,20
01/06/2025,23,2025-06-07,76512,Brand D,Mumbai,Marol Sakinaka,1,654.1500122,48
01/06/2025,23,2025-06-07,83864,Brand D,Mumbai,Borivali,6,3361.600431,39
01/06/2025,23,2025-06-07,184604,Brand G,Mumbai,Malad Kan East,57,24712.53255,411
01/06/2025,23,2025-06-07,656170,Brand D,Mumbai,Chembur,3,1027.1,31
