Month,WEEK,DT,RESTAURANT_ID,REST_NAME,CITY,AREA,TOTAL_ORDERS,GMV,MENU_SESSIONS,conversion_rate,month_year,day_of_week,is_weekend,week_from_date
2025-06-01,22,2025-06-01,70556,Brand D,Mumbai,Bandra West,1,1255.380029,13,0.07692307692307693,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,76509,Brand D,Mumbai,Malad Kan West,1,250.95,15,0.06666666666666667,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,76512,Brand D,Mumbai,Marol Sakinaka,1,414.95,22,0.045454545454545456,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,83864,Brand D,Mumbai,Borivali,3,1834.779999,31,0.0967741935483871,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,184604,Brand G,Mumbai,Malad Kan East,42,15521.30212,331,0.1268882175226586,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,656170,Brand D,Mumbai,Chembur,5,2181.450319,28,0.17857142857142858,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,688993,Brand E,Mumbai,Marol Sakinaka,5,8242.151345,116,0.04310344827586207,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,783761,Brand D,Mumbai,CBD Belapur,4,2587.400352,23,0.17391304347826086,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,880733,Brand C,Mumbai,Vashi,11,4967.285896,72,0.1527777777777778,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,974354,Brand B,Mumbai,Mulund,29,10183.55099,191,0.1518324607329843,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,974356,Brand B,Mumbai,Powai,29,8726.027462,138,0.21014492753623187,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,1037606,Brand A,Mumbai,Andheri East,36,14407.8004,263,0.13688212927756654,2025-06,Sunday,1,22
2025-06-01,22,2025-06-01,1074224,Brand D,Mumbai,Matunga Wadala,1,383.45,17,0.058823529411764705,2025-06,Sunday,1,22
2025-06-01,23,2025-06-02,70556,Brand D,Mumbai,Bandra West,2,796.5499939,9,0.2222222222222222,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,76512,Brand D,Mumbai,Marol Sakinaka,1,372.95,24,0.041666666666666664,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,184604,Brand G,Mumbai,Malad Kan East,43,18734.06338,229,0.18777292576419213,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,656170,Brand D,Mumbai,Chembur,2,504.4,18,0.1111111111111111,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,668983,Brand D,Mumbai,Andheri West,2,1121.600327,10,0.2,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,688993,Brand E,Mumbai,Marol Sakinaka,5,6271.300272,73,0.0684931506849315,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,783761,Brand D,Mumbai,CBD Belapur,1,362.45,17,0.058823529411764705,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,880733,Brand C,Mumbai,Vashi,3,812.0459961,51,0.058823529411764705,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,974354,Brand B,Mumbai,Mulund,24,7628.375948,143,0.16783216783216784,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,974356,Brand B,Mumbai,Powai,17,6276.673889,104,0.16346153846153846,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,1037606,Brand A,Mumbai,Andheri East,30,12130.50112,192,0.15625,2025-06,Monday,0,23
2025-06-01,23,2025-06-02,1074224,Brand D,Mumbai,Matunga Wadala,1,225.95,11,0.09090909090909091,2025-06,Monday,0,23
2025-06-01,23,2025-06-03,76508,Brand D,Mumbai,Lower Parel Worli,1,404.45,14,0.07142857142857142,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,76509,Brand D,Mumbai,Malad Kan West,1,869.3700134,11,0.09090909090909091,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,76512,Brand D,Mumbai,Marol Sakinaka,2,1036.949988,24,0.08333333333333333,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,83864,Brand D,Mumbai,Borivali,1,414.95,31,0.03225806451612903,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,184604,Brand G,Mumbai,Malad Kan East,37,19965.2834,287,0.1289198606271777,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,656170,Brand D,Mumbai,Chembur,2,1177.850012,21,0.09523809523809523,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,688993,Brand E,Mumbai,Marol Sakinaka,3,2458.050043,62,0.04838709677419355,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,880733,Brand C,Mumbai,Vashi,6,2098.134021,47,0.1276595744680851,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,974354,Brand B,Mumbai,Mulund,12,4350.326396,137,0.08759124087591241,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,974356,Brand B,Mumbai,Powai,33,9515.679536,116,0.28448275862068967,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-03,1037606,Brand A,Mumbai,Andheri East,22,7275.150044,174,0.12643678160919541,2025-06,Tuesday,0,23
2025-06-01,23,2025-06-04,70556,Brand D,Mumbai,Bandra West,1,372.95,31,0.03225806451612903,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,76508,Brand D,Mumbai,Lower Parel Worli,1,347.7,23,0.043478260869565216,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,76512,Brand D,Mumbai,Marol Sakinaka,1,347.7,26,0.038461538461538464,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,184604,Brand G,Mumbai,Malad Kan East,29,11588.2955,230,0.12608695652173912,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,656170,Brand D,Mumbai,Chembur,6,2291.170016,29,0.20689655172413793,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,688993,Brand E,Mumbai,Marol Sakinaka,3,3037.650679,74,0.04054054054054054,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,828997,Brand D,Mumbai,Thane,2,1451.300024,8,0.25,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,880733,Brand C,Mumbai,Vashi,9,6323.502268,49,0.1836734693877551,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,974354,Brand B,Mumbai,Mulund,17,6290.288503,148,0.11486486486486487,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,974356,Brand B,Mumbai,Powai,34,11561.73022,154,0.22077922077922077,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-04,1037606,Brand A,Mumbai,Andheri East,25,9833.350307,186,0.13440860215053763,2025-06,Wednesday,0,23
2025-06-01,23,2025-06-05,70556,Brand D,Mumbai,Bandra West,4,2118.050345,20,0.2,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,76509,Brand D,Mumbai,Malad Kan West,3,1713.750026,12,0.25,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,76512,Brand D,Mumbai,Marol Sakinaka,1,720.6500122,29,0.034482758620689655,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,184604,Brand G,Mumbai,Malad Kan East,37,12904.65429,254,0.14566929133858267,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,656170,Brand D,Mumbai,Chembur,1,425.45,19,0.05263157894736842,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,688993,Brand E,Mumbai,Marol Sakinaka,1,552.3000061,83,0.012048192771084338,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,783761,Brand D,Mumbai,CBD Belapur,1,790.6503271,20,0.05,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,828997,Brand D,Mumbai,Thane,1,336.95,9,0.1111111111111111,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,880733,Brand C,Mumbai,Vashi,5,2668.251174,34,0.14705882352941177,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,974354,Brand B,Mumbai,Mulund,28,9389.645242,190,0.14736842105263157,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,974356,Brand B,Mumbai,Powai,43,12585.25133,178,0.24157303370786518,2025-06,Thursday,0,23
2025-06-01,23,2025-06-05,1037606,Brand A,Mumbai,Andheri East,30,11517.65062,210,0.14285714285714285,2025-06,Thursday,0,23
